약어,원어,설명,참고자료
ABS RLY BOX,ABS RELAY BOX,ABS용 릴레이 박스.,-
ABS SRI,ABS REMINDER INDICATOR,ABS에 문제가 생겼을때 ABS SRI 표시등 점등.,-
ABS W/SNSR,ABS WHEEL SPEED SNSR,ABS용 바퀴 속도를 감지하여 ABS UNIT로 신호를 보내는 센서.,-
AC,ALTERNATING CIRCUIT,교류.,-
AC,ALTERNATING CURRENT,시간에 따라 전류의 방향과 크기가 바뀌는 전류 (교류전류),-
AC INVERTER UNIT,AC INVERTER UNIT,교류전류를 직류전류로 변환하는 유닛,-
ACC,적응식 크루즈 컨트롤,앞차의 거리를 자동으로 감지하여 충돌 방지하는 기능 BH에 적용하려 했으나 관련 국내법규 만들어지지 않았음.,-
ACC,ACCELERATION SENSOR,거친도로위를 주행시 차량진동에 의한 잘못된 MISFIRE의 검출을 피하기 위하여 ACCELERATION SENSOR의 출력값을 이용MISFIRE 검출기능을 중지시키는 기능,-
ACC,ACCELERATION SENSOR,거친 도로위를 주행시 차량진동을 의한 잘못된 MISFIRE의 검출을 피하기 위하여 ACCELERATION SENSOR의 출력값을 이용 MISFIRE 검출기능을 중지시키는 기능,-
ACC,ACCESSARY,부속품.,-
ACC,ACCIDENT DATA RECORDER,"ADR 은 차량의 충돌 사고, 운전자 또는 외부 장치의 이벤트 요구에 의해 정해진 시점 이전 30초, 이후 15초간의 차량 거동 및 운전자 조작을 기록하여 사후 사고 원인을 분석하거나 이벤트 시점 전후의 운전자 조작을 재현하기 위한 기록 장치로 장치 내부에는 사고를 감지 하고 차량 거동을 감지하기 위한 센서가 있고 외부의 입력을 읽을수 있는 신호 입력단자, 통신단자,출력단자 등이 있다.",-
ACC,AUTO CRUISE CONTROL,운전자가 설정한 차속을 유지하며 자동으로 주행하는 시스템,-
ACC,AUTOMATIC CLIMATE CONTROLLER,"버스용 에어콘, 히터, 전자동화 시스템. ON THE ROOF TYPE(천정형) 최초의 A/CON 시스템",-
ACC,AUTOPHORETIC COATING CHEMICALS,"화학도장. 전기를 사용하지 않는 수용성 유기화합물 - 아크릴(Acrylic), 폴리염화 비닐리덴(PVDC) 또는 에폭시(Epoxy) 코팅공정으로써, 산화-환원에 기초한 화학반응에 의해 철계 표면에 고 품질, 고 내식성 피막 형성 기술",-
ACCESS,ACOUSTICALLY CONTROLLED ENHANECD SOUND SYSTEM,자동 음량 보정 장치.,-
ACF STEERING,ACTIVE CENTER FEEL STEERING,STEERING WHEEL ON CENTER 영역에서 STEERING TORQUE를 증대시켜 고속주행시 안정성 향상 및 PARKING시 STEERING WHEEL CENTER 인지 용의.,-
ACM,ACRYLIC RUBBER,"ACM은 Acryl산, Alkylester를 함유하는 중합체의 총칭",-
ACOUSTIC CHIME,ACOUSTIC CHIME,중저음 음향기.,-
ACOUSTIC WARNING,-,TAIL LAMP를 켜놓은 상태에서 DRIVER DOOR를 열경우 CHIME BUZZER이 작동하여 밧데리 방전 방지.,-
ACP,ARMOURED PERSONAL CARRIER,장갑차,-
ACS,ANNUAL CUSTOMER SATISFACTION,신차출고 1년후 고객만족도,-
ACTIVE HEAD LAMP,-,"차량의 속도,상태 및 도로의 여건에 따라 HEAD LAMP의 조사각도를 상하좌우로 조절하는 시스템",-
ACTIVE HEAD RESTRAINT,-,후방 충돌시 HEADREST가 전방으로 이동하여 승객의 목부상을 방지.,-
ACTIVE SEAT,-,"ELECTRIC FAN을 이용한 VANTILATION DEVICE와 맛사지 CHAMBER를 SEAT에 내장시켜 SEAT 온도조절,습기제거 및 맛사지기능.",-
ACTR,ACTUATOR,작동기.,-
ACTR ASS'Y,ACTR ASSEMBLY,다른 곳에서 전원을 받아서 행동하는 장치.,-
ACU,A/BAG CONTROL UNIT,NOTHING,-
ACU,AIR/BAG CONTROL UNIT,AIR BAG 제어장치.,-
ACV,AIR CONTROL VALVE,엔진에 흡입되는 공기를 추울 때나 더울 때나 항상 일정하게 더운 공기로 흡입시키면 CO와 HC의 발생을 최소화 하는 장치,-
ACV,Air Cut-off Valve,이차 공기 정지 밸브. 정차(Key Off 상태)중 스택으로의 외부 공기 유입을 막는 공기 차단 밸브,-
ADAS,Advanced Driver Assistance System,첨단 운전자 보조 시스템. 안전하고 편리한 주행을 보조해주는 첨단 시스템.,-
ADAS_DRV II ECU,ADAS Driving ECU,차량의 센서 및 카메라 영상을 분석하여 자율주행을 제어하는 유닛,-
ADAS_PRK II ECU,ADAS Parking ECU,차량의 센서 및 카메라 정보를 입력하여 원격 및 자동 주차를 제어하는 유닛,-
ADAS_VP ECU,ADAS Vision Processing ECU,자율 주행을 위한 차량의 근거리 영상을 분석 및 전송,-
ADB,Adaptive Driving Beam,하이빔 주행 중 선행차 및 대항차 감지 시 해당 부분만 하이빔을 소등하는 시스템.,-
ADCU,Advanced Driver Assistance Systems,ADAS + ECU,-
ADD,ADDITION OF VARIATION,"기존을 차종을 신규용도로 사용하기 위해 부분적으로 변경하여 GRADE를 신설한 차종의 개발(예:canvas top, a/t)",-
ADJ PEDAL,ADJUST PEDAL,운전자의 운전 습관에 따라 브레이크 페달의 위치가 자동으로 조정되는 시스템 (만약 브레이크의 위치가 너무 깊이 밟히면 페달 위치가 윗쪽 방향으로 이동하여 이격 거리를 좁혀줌으로써 편의를 제공하는 시스템),-
ADM,ASSIST DOOR MODULE,NOTHING,-
ADP,Acoustic Design Platform / Processor,-,-
ADR,ACCIDENT DATA RECORDER,사고시 각종 센서값을 저장/기록하여 차량 궤적을 재현하는 시스템(사고 기록 장치),-
ADS,Active Sound Design,엔진 소리를 스피커를 통해 내어주는 장치.차량 상태에 따른 컨트롤을 통해 원래의 엔진 사운드(사전 설정된 사운드 패턴과 관련)에는 없는 음향 요소를 생성,-
ADS,Auto Defog Sensor,"차량 내부의 온,습도를 측정하는 센서",-
AEB,Autonomous Emergency Braking,레이더와 카메라를 이용하여 충돌이 예상되는 전방차량 및 보행자와의 사고를 회피하는 안전 시스템,-
AEBS,Advanced Emergency Braking System,자동 또는 긴급 제동장치,-
AEPMS,ALT ELECTRICAL POWER MANAGEMENT SYSTEM,배터리센서 입력 정보를 이용한 최적의 알터네이터 발전 용량 제어 (가변발전제어 알터네이터),-
AF,AIR FRIGHT,항공 운송.,-
AFCU,Auto Flush door handle Control Unit,"도어 핸들 히든(Hidden) 타입. 주행 시엔 도어 오픈 핸들이 차량 내로 들어가고, 운전자 차량 접근 등 필요 시에는 도어 핸들이 차량 바깥으로 나오는 시스템",-
AFCV,AIR FUEL CONTROL VALVE,공연비 제어 밸브.,-
AFEXT,Alien Far End Cross Talk,(통신 용어) 원단누화. 통신 회선의 누화 (Cross-Talk : 한 채널(접속로)의 신호가 다른 채널에 전자기적으로 결합(Coupling)되어 영향을 미치는 현상. 단위 : dB)로 인해 피유도 회선의 출력단(순방향)으로 누설되는 현상 또는 영향도. Ref) ANEXT,-
AFH,Auto Flush Handle,오토 플러시 핸들. 평소 도어 그립 라인만 보이다가 (도어 패널에 숨어 있다가) 사람이 다가서면(스마트키를 들고 가까이 다가가거나 도어 그립을 누르면) 손잡이가 튀어나오는 방식,-
AFLS,ADAPTIVE FRONT LIGHT SYSTEM,"곡선로 주행시 스티어링휠의 선회각도를 센서가 인식, 전조등의 조사각도를 미리 차량 진행방향으로 자동 제어해 야간 주행시 최적의 전방시계를 제공하는",-
AFLS,ADAPTIVE FRONT LIGHT SYSTEM,"곡선로 주행시 스티어링휠의 선회각도를 센서가 인식, 전조등의 조사각도를 미리 차량 진행방향으로 자동 제어해 야간 주행시 최적의 전방시계를 제공",-
AFS,ACTIVE FRONT STEERING,능동형 전륜조향 시스템 BMW 5SERIES에서 최초로 적용 속도에 따라 핸들의 기어비가 달라지는 것. 정지 시에는 핸들을 한바퀴 반만 돌려도 바퀴를 완전히 움직일 수 있지만 고속에서는 세 바퀴 반을 돌려야 바퀴를 끝까지 돌릴 수 있도록 한 것.,-
AFS,ADAPTIVE FRONT-LIGHTING SYSTEM,적응형 헤드램프 시스템 헤드램프를 좌우로 움직이도록 하는 시스템 (CF. HLLD : 헤드램프를 상하로 움직이도록 하는 시스템),-
AFS,AIR FLOW SENSOR,"AIR CLEANER 내부에 설치되어 흡입 공기량, 대기압 등을 감지하는 센서. 와류의 수를 감지 및 계산하여 모듈레이터에 전송하면 이 수를 전기 신호로 바꾸어 ECU로 전송한다.",-
AFS-H,Adaptive Front-Lighting System-Height,적응형 전조등-차량 높이,-
AFS-H,Adaptive Front-Lighting System-Height,-,-
AFV,ALTERNATIVE FUEL VEHICLE(대체 연료 자동차),"천연가스, 메탄올, 수소등의 연료를 사용하는 자동차.",-
AGC,AUTOMATIC GAIN CONTROL,"RADIO/TV 방송 수신시, 자동이득 조절기능",-
AGCS,ACTIVE GEOMETRY CONTROL SUSPENSION,차량 선회 시 후륜 토우각을 능동적으로 제어하여 선회 가능 영역을 연장함으로써 선회 안정성을 향상 시켜주는 시스템 (국내 모비스 생산),-
AGM,Absorbed Glass Mat,"유리섬유 매트 배터리. 전액질이 포함된 특수 유리섬유를 극판에 밀봉- 흡착하는 방식으로 별도 전해액 없이 극판 전체에서 고르게 화학반응을 일으켜 안정적인 출력과 우수한 충전회복능력을 지님. (가격은 높지만 수명이 길고, 충전시간이 짧으며 저온에서도 시동이 잘걸림) (Ref. Flooded Lead Acid)",-
AH / Ah,AMPARE HOUR,시간당 전류값.,-
AHB,Active Hydraulic Booster,액티브 유압 부스터 (= 하이브리드 차량 회생제동브레이크 시스템). 운전자가 자동차의 속도를 줄일 때 브레이크 페달에 장착된 센서를 통해 에너지를 회수하여 배터리에 충전함으로써 연비개선과 안정적인 제동을 가능케 한다.,-
AHLLD,AUTO HEAD LAMP LEVELING DEVICE,"오토헤드램프 레벨링. 차량의 주행환경과 적재상태에 따라 헤드램프의 조사방향을 변화시켜 운전자의 가시거리를 확보하고, 상대방 운전자의 눈부심을 방지하여, 운행상의 안전성을 향상시키는 시스템",-
AI,ARTICULATION INDEX,음색 인지 지수(진동소음),-
AIC WIPER,AUTO INTERVAL CONTROL WIPER,자동으로 WIPER를 적절한 속도로 작동시키는 시스템으로 차속감지형 및 RAIN SENSOR를 이용한 우적감응형 등이 있음.,-
AIH SENSOR,SENSOR ASS’Y INCAR & HUMIDITY,"습도센서. 기존 Blower Motor의 풍량을 이용, Incar & Humidity Sensor를  결합하여 차량 실내의 온도 및 습도를 감지하는 센서",-
AIMMING,-,H/LP의 좌우상하 ANGLE을 맞추는 방법,-
AIR BLEED'G,AIR BLEEDING,유압 장치에서 작동유 주입 후 장치내 공기를 빼기,-
AIR BLEEDING,AIR BLEEDING,"쿨링 라인에 냉각수 충전 시 공기가 주입 되는데, 공기 유입 시 냉각수가 적정량 채워지지 않을 수 있어 해당 펌프로 강제 순환 시킴.",-
AIR CAB SUSPENSION,AIR CAB SUSP.,FULL FLOATION CAB SUSPENSION으로 AIR SPRING으로 현가 MOUNTING한 구조,-
AIR DRYER,AIR DRYER,에어 드라이어는 브레이크용 에어라인중 수분이나 오일을 제거하는 기능.,-
AIR HEATER,-,엔진 냉각수 온도를 감지하여서 예열과 후열시간을 조절하여 지시등으로 운전자에게 시동작동의 시기를 알려준다.,-
AIR PURIFIER,공기 정화기,"LEV 대응 E/M CELL의 희석공기를 정화하는 장치로서, 배기가스 분석 정도를 향상시키기 위하여 분석기로 유입되는 희석공기를 정화하는 장치.",-
AIR SUPPLY VALVE,-,AIR SUSPENSION SYSTEM에서 AIR의 역류 방지 밸브,-
AIR SUSPENSION(ECS),AIR SUSPENSION(Electronic Control Suspension),승차감 향상을 위해 에어스프링 및 전자식 서스펜션을 적용하고 제어하는 시스템,-
AIRDAM,에어댐,"차량의 공력개선 부착물의 하나로 주로 엔진룸 하부에 부착되는 것을 말하여, 경우에 따라 수식어가 붙기도 함. 주로 엔진 냉각과 항력의 점감이 주목적으로 사용되는 공력 부가물임.",-
AISLE LAMP,AISLE LAMP,"야간에 승객 탑승시 바닥의 시야확보를 위한 통로 바닥 좌,우에 설치된 조명등.",-
AJD,ANTI JAMMING DEVICE,압박 방지 장치.,-
ALBCU,Assist Lumbar Bolster Cushion ECU,보조석 럼버(등받이) / 볼스터(시트 옆구리 받침) / 쿠션 제어기.,-
ALC,ASSEMBLY LINE CONTROL,"공장에서 차량 투입시 사양에 따른 번호를 부여하여, 자동으로 투입이 될 수 있도록 관리하는 시스템. 차량 조립관리 시스템(조립 Line 중심).",-
ALC,ASS'Y AIR FLOW SENSOR,업체로부터 생산LINE 에 직접 부품공급,-
ALR,-,"자동 잠금 기능이 있어 S/BELT 길이를 자동으로 조절하나, S/BELT를 인출하여 LOCK'G 후에는 RETRACTING만 되는 RETRACTOR",-
ALR,AUTOMATIC LOCKING RETRACTOR(자동 잠김 시트 벨트),"자동 잠금 기능이 있어 S/BELT 길이를 자동으로 조절하나, S/BELT를 인출하여 LOCK'G후에는 RETRACTING만 되는 RETRACTOR",-
ALT,ALTERNATOR,엔진에 장착되어 엔진 축과 V-BELT로 연결시켜 자동차에 필요한 일체의 전원을 공급한 후 잔류분은 배터리에 충전되는 발전기.,-
ALT.NOISE,ALTERNATOR NOISE,ENGINE 가속시 AUDIO로 유입되는 NOISE,-
AM,ANTE MERIDIEM,오전.,-
AMBIENT SNSR,AMBIENT SENSOR,외기 온도 감지 센서 (엔진룸 주변 공기의 온도를 감지하는 센서). 에어콘 시스템에서 외부의 온도를 감지하여 에어콘 C/U로 전송하여 에어콘의 조건을 결정하는 센서.,-
AMP,AMPLIFIER,오디오 증폭기.,-
AMS,AUTOMOTOR UND SPORTS,독일 잡지인 AMS誌에서 발표하는 차량의 제동성능 시험결과 및 시험방법. AMS 제동거리는 공차 상태 제동거리와 적차 및 FADE 상황에서의 제동거리를 비교하는 耐 FADE 성능 시험,-
AMT,Automated Manual Transmission,"클러치없는 수동 변속기라고도하는 자동 수동 변속기는 수동 변속기의 기계적 내부를 기반으로하는 반자동 또는 자동 변속기 유형. 반자동 버전은 전자 기계식, 유압식 또는 공압식 작동을 사용하여 클러치를 자동으로 제어하며 운전자가 기어 변경을 시작해야합니다",-
ANALYSIS,ANALYSIS,컴퓨터에 의한 유한 요소로 정의된 내용을 이용하여 수치 연산을 하는 것.,-
ANC,ACTIVE NOISE CONTROL,"엔진 부밍소음,배출소음 등을 감지하여 이 신호와 역위상의 신호를 발생시켜 소음을 상쇄시키는 시스템",-
ANC SYSTEM,ACTIVE NOISE CONTROL SYSTEM,차량 주행시 발생하는 소음을 능동적으로 제거하는 시스템.,-
ANEXT,Alien Near End Cross Talk,(통신 용어) 근단누화. 통신 회선의 누화 (Cross-Talk : 한 채널(접속로)의 신호가 다른 채널에 전자기적으로 결합(Coupling)되어 영향을 미치는 현상. 단위 : dB)로 인해 피유도 회선의 입력단(역방향)으로 누설되는 현상 또는 영향도. Ref) AFEXT,-
ANS,ANSWER,대답.,-
ANT,ANTENNA,안테나.,-
ANT MTR,ANTENNA MOTOR,안테나 동작 모타. AUDIO SW가 ON 되면 자동으로 ANT가 올라감.,-
ANTI FREEZE,-,냉각수의 빙결을 방지하기 위해 첨가제가 첨가된 용액,-
ANTI-CORROSION ADDITIVE,-,엔진 오일의 부식을 방지하기 위한 첨가제,-
ANTI-CROWNING,-,GEAR 치면에서 가운데 부분이 오목하게 들어간 것을 말함.,-
ANTI-FOAMING AGENT,-,엔진 오일내에 발생하는 기포를 방지하기 위한 첨가제.,-
ANTI-ICING AGENT,-,휘발유의 기화열에 의해 빙결되는 것을 방지하기 위한 첨가제.,-
ANTI-KNOCK ADDITIVE,-,엔진 연소중 발생하는 노킹을 방지하기 위한 휘발유 첨가제.,-
ANTI-OXIDANT,-,오일의 산화를 방지하기 위한 첨가제,-
ANTI-THEFT,-,차량 도난 방지 장치,-
ANTI-THIFT,ANTI THIFT,도난 방지 시스템.,-
ANTI-WEAR AGENT,-,접촉면의 마모를 방지하기 위해 엔진 오일 내에 첨가되는 첨가제.,-
AOH,AIR OVER HYDRAULIC BRAKE,배력장치로 압축공기를 사용하고 유압을 발생케 하여 제동하는 BRAKE SYSTEM,-
AOI,Automatic Optical Inspection,"자동 외관 검사 장비. 광학적으로 물체의 외관 상황을 파악하고, PC를 활용한 화상처리에 의해 양불을 판정하는 검사 또는 검사장비.",-
AP,ASSOCIATED PRESS,연합 통신사,-
APC,Air Pressure Control valve,스택 공기극의 운전 압력을 제어하는 공기 압력 제어 밸브 (공기 출구단에 위치),-
API,AMERICAN PETROLEUM INSTITUTE,미국 석유 협회.,-
APM,ACCELATER PEDAL MODULE,엑셀 패달 모듈,-
APS,ACCELERATION POSITION SENSOR,액셀레이터 위치 감지기. ACCEL PEDAL의 밟힘량에 비례하여 전압을 변환시킨 후 ECU에 입력시켜 속도를 조정할 수 있도록 하는 센서.,-
APS,ADJUSTABLE PEDAL SYSTEM,전동식 페달 조절 장치로 적정 운전 자세를 유지시켜 편의성 증대. 모터의 회전에 의해 웜기어 작동으로 패드의 위치 조정,-
APS,AIR PRESSURE SENSOR,흡입 공기 압력 감지기. 반도체의 PIEZO 압전 효과를 이용하여 흡기관 내의 압력 변화를 전기 신호로 검출하여 공기 흡입량을 보정하는 센서.,-
APS,ASSEMBLY PROCESS SHEET,조립공정도,-
APSM,Assist Power Seat Module,차량용 안마시트 제어장치,-
APT,Air conditioner Pressure Transducer,에어컨 압력 변환 센서 (혹은 에어컨 전압 변환 센서). 친환경 차량용 배터리 쿨링 제어 장치 제어에 필요한 정보(차량의 시동 여부와 에어컨디셔너의 작동 여부)를 나타내는 신호를 출력,-
APT,AUTOMOTIVE PRESSURE TRANSDUCER SENSOR,A/CON 냉매압력을 연속검출 및 전압치로 출력변환(Transducer)하여 엔진 ECU가 최적의 제어를 가능하게하는 센서,-
APT SNSR,A/con Pressure Temperature Sensor,"에어컨 압력, 온도 센서",-
APU,Air Processing Unit,"풀 에어 브레이크 시스템에 장착되며, 에어 컴프레셔로부터 공급된 에어를 여러 개의 에어탱크로 적절히 공급해주는 장치",-
APU,Air Processing Unit,"ECU가 CAN 통신을 통해 차량 정보를 받아 에어 공급을 최적으로 제어하며, 공기 통과 유량을 파악하여 능동적으로 제습함으로서 압축공기 상태를 최적화함",-
APU,AUXILIARY POWER UNIT,보조 발전 장치,-
AQ,AQUA.,"물, 물기둥.",-
AQL,ACCEPTABLE QUALITY LEVEL,합격할 수 있는 품질 수준.품질평가원간 또는 평가부서와 피평가 부서간의 품질 수준의 눈높이를 일치시키는 행위로써 급격한 품질수준의 차이로 발생하는 문제점을 사전에 예방하기 위한 행위,-
AQP,Advanced Quality Planing,사전품질계획. 제품이 고객의 요구사항을 만족시킨다는 것을 보증하기 위해 필요한 요구 단계들을 설정하고 정의하는 체계적인 방법으로서 결함방지와 비교했을 때 지속적인 개선과 결함예방의 개념을 구체화한 것이다.,-
AQS,AIR QUALITY CONTROL SYSTEM,"외기 유해가스 제어장치. 외기온 센서와 유사한 위치에 위치하며, 차량 외부에서 발생된 유해가스를 감지하여 자동으로 차량내부로 유해가스가 유입되지 않도록 신호를 히타 컨트롤에 보내는 센서",-
AR,AS REQUIRED,필요량대로 사용,-
ARS,ACTIVE ROLL STABILIZER,코너링 등으로 인해 차량의 좌우 어느 한쪽으로 하중이 쏠ㄹ릴 때 평형을 잡아주는 장치,-
ARTS,AUTOMATIC ACCIDENT REPORT&TRACKING SYSTEM(사고통보/도난추,"운행중 발생한 사고를 통제 센터에 자동 통보하고, 도난 차량 추적 기능을 실현하는 첨단 안전 시스템.",-
ASAP,AS SOON AS POSSIBLE,가능한한 빨리 적용. 질문에 대한 즉각적인 회신을 요구할때.,-
ASC,Active Shift Control,능동 변속제어. 주행모터를 활용해 초당 500회씩 변속기를 초정밀 제어하는 신기술,-
ASC,ACTIVE STABILITY CONTROL,ACTIVE SAFETY의 기술로 4개의 바퀴를 조절해 충돌을 방지하는 기술.,-
ASC,ANTI SPEED CONTROL,TCS에 관련된 기능으로 SPEED를 조정함.,-
ASD,AMPLITUDE SELECTIVE DAMPER,"기존의 수동형 댐퍼를 감쇠력 가변댐퍼 & 에어스프링 으로 대체,차고/감쇠력 자동 조정으로 최적의 승차감/ 조안성 구현",-
ASG,AUTOMATED SHIFT GEABOX,"수동변속기의 클러치와 기어변속을 ACTUATOR에 의해 자동으로 수행,SPORTY 한 운전을 위해 수동 변속 가능. 자동화 수동 변속기",-
ASHTRAY ILLUMI,ASHTRAY ILLUMINATION,재떨이 조명.,-
ASIL,Automotive Safety Integrity Level,자동차 안전 무결성 수준 (기능 안정성 등급). 최종 차량 사용자의 위험을 최소화하기 위해 차량 개발 중에 적용되는 위험 분류 체계.,-
ASM,AUTO SEARCH MEMORY,수신 상태가 우수한 TV 채널 자동으로 찾는 기능.,-
ASR,Anti Spin Regular,자동차 운행 시 브레이크를 밟는 과정이 아니라 가속페달을 밟는 과정에서 바퀴가 헛돌지 않게 해주는 기능,-
ASR SW,-,동력계의 SPEED CONTROL MODE,-
ASS,AUTOMATIC STATION SELECTOR,자동 주파수 선정.,-
ASS DR SW,ASSIST DOOR SWITCH,조수석 도어 스윗치.,-
ASS S/BELT SW,ASSIST SEAT BELT SWITCH,조수석 안전벨트 스윗치.,-
ASS'Y,ASSEMBLY,"조립품 일체, 부품간 조합(용접)이 이워진 상태임.(조립)",-
ASTM,AMERICAN SOCIETY FOR TESTING MATERIALS,미국 재료시험 협회,-
ASTRONIC,AUTO SHIFT ELECTRONIC TRANSMISSION,승용 SAT와 같은 개념으로 운전자가 CLUTCH 조작없이 UP&DOWN 방식의 SHIFT LEVER 조작만으로 운전가능하도록 T/M CONTROL UNIT에서 CLUTCH및 SHIFT 조작을 자동으로 수행하는 장치,-
ASV,AIR SWITCHING VALVE,고속 감속시의 공연비 제어 밸브.,-
AT,AUTOMATIC TRANSMISSION,자동 변속기,-
ATA,AUTOMATIC TIRE AIR PUMP,자동타이어공기주입장치(타이어 공기압이 낮을때 자동으로 공기압을 올려주는 장치),-
ATC,AUTOMATIC TEMPERATURE CONTROLLER,자동 온도 조절기.,-
ATDC,AFTER TOP DEAD CENTER,상사점 후. (점화시기),-
ATF,AUTOMATIC TRANSMISSION FLUID,자동 변속기용 기름.,-
ATM,ATMOSPHERE,대기압.,-
ATM,AUTOMATIC TRANSMISSION,"자동 변속기. 무단 변속기. 유체 클러치 방식과 TOQUE 전환기 방식이 있음. 유성 기어 장치를 보조로 사용. 일반적으로 P,N,R,D,L,2의 변속 RANGE를 가진다.",-
